touch_id,step,team,player,ball_x,ball_y,speed_ema,class_type,target_idx,ang_goal_deg,ang_pass_deg
88,421,0,0,-0.634987,-0.164455,0.009905,shot,,4.719,999.0
89,440,1,2,-0.048325,-0.054488,0.016753,pass,0,160.366,12.62
90,441,1,2,-0.033975,-0.050363,0.01566,pass,0,160.687,12.833
91,452,1,2,-0.078001,-0.086524,0.009624,none,,20.154,118.969
92,453,1,2,-0.087896,-0.088758,0.009934,none,,18.964,118.776
93,454,1,2,-0.097252,-0.090873,0.009729,none,,18.65,119.053
94,455,1,2,-0.107213,-0.092537,0.009946,none,,16.642,117.556
95,456,1,2,-0.121116,-0.092805,0.012283,shot,,10.181,999.0
96,457,1,2,-0.13442,-0.093077,0.012892,shot,,8.376,999.0
97,458,1,2,-0.146709,-0.093353,0.012532,shot,,7.86,999.0
98,459,1,2,-0.158333,-0.093617,0.011989,shot,,7.722,999.0
99,460,1,2,-0.169323,-0.093867,0.011391,shot,,7.723,999.0
100,461,1,2,-0.179697,-0.094103,0.010782,shot,,7.781,999.0
101,462,1,2,-0.189482,-0.094325,0.010186,shot,,7.86,999.0
102,470,1,2,-0.24666,-0.068045,0.010701,shot,,10.442,999.0
103,471,1,2,-0.259031,-0.065269,0.011884,shot,,8.598,999.0
104,472,1,2,-0.270397,-0.062696,0.011745,shot,,8.128,999.0
105,473,1,2,-0.28113,-0.060262,0.011302,shot,,8.025,999.0
106,474,1,2,-0.291281,-0.05796,0.010766,shot,,8.051,999.0
107,475,1,2,-0.300863,-0.055787,0.010201,shot,,8.129,999.0
108,476,1,2,-0.309901,-0.053738,0.009641,shot,,8.226,999.0
109,477,1,2,-0.322489,-0.051216,0.011558,shot,,7.363,999.0
110,478,1,2,-0.337474,-0.048365,0.013775,shot,,6.799,999.0
111,479,1,2,-0.351624,-0.045671,0.014152,shot,,6.738,999.0
112,480,1,2,-0.364713,-0.043177,0.013656,shot,,6.812,999.0
113,481,1,2,-0.377029,-0.040829,0.012985,shot,,6.925,999.0
114,482,1,2,-0.388673,-0.038609,0.012306,shot,,7.052,999.0
115,483,1,2,-0.399666,-0.036513,0.011637,shot,,7.183,999.0
116,484,1,2,-0.412142,-0.034145,0.012274,shot,,7.287,999.0
117,485,1,2,-0.427379,-0.031264,0.014214,shot,,7.402,999.0
118,486,1,2,-0.442042,-0.028492,0.014639,shot,,7.588,999.0
119,487,1,2,-0.455568,-0.025934,0.014115,shot,,7.789,999.0
120,488,1,2,-0.468321,-0.023521,0.013433,shot,,7.985,999.0
121,489,1,2,-0.480407,-0.021234,0.012753,shot,,8.18,999.0
122,490,1,2,-0.491833,-0.019073,0.012079,shot,,8.373,999.0
123,491,1,2,-0.504734,-0.017328,0.012638,shot,,6.703,999.0
124,492,1,2,-0.520399,-0.016079,0.014475,shot,,4.053,999.0
125,493,1,2,-0.535459,-0.014872,0.014854,shot,,3.238,999.0
126,494,1,2,-0.549356,-0.013742,0.014307,shot,,3.027,999.0
127,495,1,2,-0.562416,-0.012675,0.013585,shot,,3.004,999.0
128,496,1,2,-0.574773,-0.011665,0.012873,shot,,3.045,999.0
129,497,1,2,-0.586437,-0.010712,0.012171,shot,,3.114,999.0
130,498,1,2,-0.599423,-0.009737,0.012682,shot,,2.959,999.0
131,499,1,2,-0.61496,-0.008681,0.014417,shot,,2.692,999.0
