step,evento,time,extra_json
91,finalizacao_tentada,1,{}
122,finalizacao_fora,1,{}
208,finalizacao_tentada,1,{}
239,finalizacao_fora,1,{}
305,finalizacao_tentada,1,{}
336,finalizacao_fora,1,{}
434,finalizacao_tentada,1,{}
465,finalizacao_fora,1,{}
